,income,age
316,80000,33
317,100000,30
318,60000,34
319,60000,29
320,100000,78
321,40000,36
322,100000,64
323,40000,81
324,40000,36
325,60000,55
326,40000,47
327,100000,41
328,40000,77
329,20000,42
330,20000,34
331,100000,54
332,40000,48
333,40000,27
334,40000,27
335,100000,58
336,100000,56
337,40000,58
338,100000,22
339,60000,19
340,40000,20
341,80000,52
342,80000,31
343,60000,37
344,60000,75
345,60000,64
346,40000,45
347,40000,62
348,100000,80
349,100000,29
350,40000,22
351,80000,56
352,80000,27
353,60000,64
354,80000,53
355,60000,83
356,20000,88
357,100000,28
358,80000,67
359,20000,26
360,40000,71
361,100000,33
362,60000,62
363,40000,21
364,100000,25
365,80000,37
366,60000,69
367,40000,85
368,40000,42
369,60000,71
370,40000,70
371,100000,54
372,40000,22
373,20000,56
374,80000,18
375,40000,75
376,80000,52
377,80000,72
378,60000,26
379,40000,62
380,60000,33
381,80000,49
382,80000,60
383,40000,72
384,100000,33
385,40000,67
386,80000,65
387,80000,56
388,40000,53
389,80000,73
390,40000,29
391,40000,47
392,100000,52
393,40000,52
394,20000,21
395,80000,29
396,60000,65
397,40000,62
398,20000,27
399,60000,27
400,100000,72
401,60000,20
402,100000,72
403,100000,81
404,40000,71
405,80000,80
406,20000,33
407,100000,38
408,20000,47
409,100000,74
410,20000,79
411,60000,90
412,80000,29
413,60000,90
414,40000,33
415,20000,66
416,20000,77
417,20000,44
418,60000,18
419,60000,72
420,60000,82
421,100000,90
422,20000,59
423,80000,89
424,80000,66
425,60000,69
426,40000,55
427,60000,67
428,40000,29
429,20000,19
430,40000,60
431,40000,48
432,100000,45
433,60000,59
434,60000,85
435,40000,29
436,60000,20
437,40000,85
438,60000,25
439,100000,89
440,100000,78
441,80000,82
442,80000,76
443,80000,20
444,40000,62
445,20000,39
446,60000,59
447,80000,20
448,60000,82
449,100000,29
450,40000,36
451,20000,75
452,80000,63
453,40000,54
454,80000,54
455,40000,78
456,40000,66
457,100000,89
458,100000,38
459,20000,46
460,100000,74
461,60000,33
462,60000,37
463,20000,81
464,80000,21
465,20000,82
466,40000,84
467,20000,79
468,40000,58
469,20000,56
470,60000,70
471,60000,57
472,20000,25
473,60000,69
474,80000,44
475,60000,78
476,40000,88
477,20000,79
478,60000,31
479,60000,87
480,40000,34
481,100000,42
482,20000,46
483,80000,86
484,80000,87
485,60000,37
486,80000,88
487,20000,86
488,40000,69
489,40000,28
490,100000,88
491,40000,21
492,60000,22
493,100000,26
494,40000,80
495,40000,69
496,60000,27
497,60000,85
498,40000,47
499,40000,41
500,100000,84
501,20000,90
502,80000,33
503,20000,78
504,100000,49
505,100000,72
506,100000,83
507,60000,68
508,40000,30
509,100000,74
510,80000,55
511,40000,85
512,80000,32
513,40000,64
514,20000,83
515,20000,64
516,40000,87
517,60000,43
518,100000,20
519,100000,39
520,60000,73
521,60000,65
522,40000,44
523,40000,38
524,60000,27
525,100000,66
526,20000,47
527,80000,61
528,80000,51
529,20000,68
530,60000,28
531,100000,64
532,60000,67
533,20000,54
534,20000,81
535,100000,81
536,40000,71
537,20000,34
538,40000,90
539,20000,32
540,40000,41
541,100000,24
542,20000,59
543,60000,78
544,40000,71
545,60000,78
546,100000,40
547,60000,21
548,80000,51
549,20000,54
550,100000,65
551,80000,38
552,100000,84
553,40000,25
554,80000,74
555,100000,89
556,80000,39
557,60000,57
558,20000,20
559,80000,28
560,20000,56
561,80000,34
562,80000,90
563,80000,44
564,40000,75
565,40000,88
566,40000,36
567,100000,49
568,20000,32
569,40000,28
570,80000,60
571,60000,88
572,80000,53
573,20000,22
574,100000,77
575,20000,42
576,60000,41
577,60000,55
578,60000,43
579,20000,67
580,20000,36
581,60000,53
582,60000,29
583,80000,73
584,40000,49
585,80000,57
586,80000,86
587,100000,59
588,80000,66
589,40000,35
590,60000,45
591,20000,77
592,20000,59
593,20000,33
594,60000,58
595,80000,36
596,60000,30
597,80000,53
598,40000,77
599,80000,48
600,40000,40
601,80000,63
602,60000,79
603,80000,24
604,40000,67
605,100000,78
606,60000,55
607,20000,70
608,60000,25
609,80000,81
610,60000,23
611,80000,70
612,80000,21
613,20000,37
614,40000,53
615,100000,41
616,80000,60
617,60000,47
618,40000,44
619,20000,85
620,60000,60
621,80000,43
622,40000,38
623,40000,76
624,100000,88
625,100000,75
626,60000,80
627,60000,36
628,20000,30
629,80000,37
630,20000,44
631,40000,57
632,60000,77
633,20000,22
634,100000,29
635,60000,59
636,100000,76
637,80000,63
638,60000,42
639,80000,68
640,80000,56
641,60000,66
642,80000,49
643,80000,55
644,60000,19
645,40000,43
646,40000,27
647,40000,74
648,100000,66
649,40000,79
650,20000,35
651,40000,57
652,100000,67
653,40000,51
654,40000,70
655,40000,82
656,80000,61
657,40000,83
658,100000,56
659,40000,89
660,100000,72
661,20000,44
662,60000,50
663,60000,74
664,40000,24
665,80000,34
666,80000,68
667,100000,56
668,80000,33
669,80000,82
670,60000,21
671,20000,52
672,40000,80
673,60000,32
674,100000,40
675,40000,34
676,60000,26
677,60000,85
678,20000,81
679,40000,65
680,80000,62
681,80000,21
682,40000,75
683,60000,25
684,100000,65
685,40000,56
686,80000,75
687,20000,37
688,80000,50
689,20000,76
690,100000,53
691,80000,38
692,60000,69
693,40000,28
694,60000,39
695,80000,63
696,40000,79
697,80000,50
698,60000,25
699,80000,88
700,40000,42
701,60000,19
702,40000,26
703,60000,45
704,80000,46
705,40000,23
706,80000,57
707,80000,45
708,60000,49
709,60000,45
710,80000,74
711,60000,46
712,60000,50
713,100000,83
714,60000,81
715,100000,72
716,80000,49
717,60000,20
718,100000,68
719,20000,58
720,40000,73
721,40000,41
722,80000,85
723,20000,40
724,20000,84
725,80000,53
726,60000,35
727,80000,90
728,80000,71
729,80000,81
730,20000,39
731,20000,71
732,100000,48
733,100000,76
734,100000,53
735,40000,54
736,40000,64
737,80000,67
738,80000,44
739,40000,65
740,100000,37
741,80000,27
742,20000,47
743,80000,56
744,100000,18
745,80000,38
746,80000,66
747,100000,22
748,40000,21
749,40000,47
750,20000,57
751,80000,54
752,60000,18
753,80000,30
754,20000,59
755,40000,73
756,40000,44
757,100000,38
758,80000,19
759,80000,24
760,40000,33
761,40000,59
762,40000,36
763,20000,64
764,100000,71
765,20000,34
766,40000,27
767,60000,78
768,20000,53
769,20000,90
770,60000,65
771,20000,19
772,80000,55
773,40000,83
774,40000,22
775,80000,44
776,60000,36
777,100000,45
778,80000,64
779,40000,85
780,40000,33
781,80000,45
782,20000,89
783,80000,28
784,80000,29
785,100000,45
786,40000,22
787,40000,58
788,60000,20
789,40000,78
790,60000,19
791,100000,78
792,40000,28
793,60000,50
794,100000,38
795,100000,56
796,80000,44
797,100000,25
798,60000,90
799,20000,46
800,60000,80
801,20000,54
802,20000,49
803,100000,26
804,20000,31
805,100000,19
806,60000,35
807,100000,67
808,20000,69
809,40000,53
810,40000,45
811,40000,68
812,60000,58
813,60000,24
814,20000,81
815,60000,67
816,20000,79
817,80000,55
818,60000,28
819,80000,57
820,60000,62
821,100000,70
822,60000,73
823,60000,73
824,100000,60
825,100000,20
826,40000,90
827,20000,32
828,40000,78
829,40000,32
830,100000,85
831,100000,53
832,40000,24
833,60000,57
834,20000,60
835,80000,31
836,60000,26
837,40000,88
838,60000,47
839,60000,69
840,100000,41
841,40000,21
842,60000,79
843,20000,57
844,100000,64
845,100000,57
846,100000,30
847,20000,30
848,40000,83
849,20000,82
850,100000,43
851,100000,21
852,60000,57
853,80000,23
854,100000,90
855,40000,60
856,80000,55
857,60000,80
858,40000,86
859,100000,90
860,80000,76
861,100000,24
862,40000,50
863,100000,67
864,80000,80
865,100000,52
866,100000,36
867,100000,61
868,60000,32
869,20000,42
870,40000,71
871,60000,43
872,100000,72
873,100000,85
874,40000,20
875,60000,44
876,40000,86
877,100000,51
878,20000,22
879,40000,22
880,40000,51
881,80000,83
882,100000,40
883,20000,23
884,80000,84
885,60000,28
886,80000,51
887,80000,28
888,80000,48
889,60000,73
890,20000,82
891,20000,49
892,80000,72
893,20000,49
894,100000,38
895,80000,58
896,40000,36
897,60000,82
898,20000,31
899,40000,62
900,40000,85
901,20000,83
902,80000,88
903,60000,52
904,20000,56
905,100000,43
906,20000,79
907,100000,85
908,80000,24
909,100000,44
910,100000,53
911,20000,20
912,40000,48
913,20000,60
914,100000,18
915,40000,71
916,80000,38
917,100000,76
918,60000,44
919,100000,22
920,100000,40
921,80000,61
922,20000,45
923,80000,21
924,20000,31
925,20000,25
926,80000,20
927,80000,25
928,20000,38
929,60000,23
930,80000,23
931,80000,51
932,100000,65
933,60000,36
934,80000,89
935,60000,43
936,80000,85
937,40000,89
938,80000,45
939,60000,85
940,100000,33
941,40000,29
942,20000,53
943,20000,64
944,80000,32
945,20000,45
946,80000,29
947,60000,26
948,100000,18
949,100000,52
950,100000,36
951,40000,63
952,20000,48
953,80000,69
954,20000,85
955,40000,46
956,60000,83
957,20000,75
958,60000,53
959,40000,64
960,20000,38
961,60000,54
962,100000,81
963,100000,26
964,100000,87
965,20000,73
966,40000,24
967,60000,78
968,40000,49
969,20000,22
970,100000,27
971,40000,19
972,80000,88
973,20000,71
974,20000,83
975,100000,29
976,80000,80
977,80000,19
978,20000,73
979,60000,26
980,20000,21
981,20000,55
982,20000,31
983,40000,68
984,80000,35
985,60000,30
986,80000,35
987,40000,87
988,60000,74
989,20000,68
990,100000,86
991,80000,18
992,60000,54
993,100000,67
994,60000,76
995,100000,58
996,60000,53
997,20000,79
998,100000,27
999,100000,34
1000,60000,76
1001,80000,44
1002,80000,29
1003,60000,62
1004,40000,21
1005,40000,59
1006,100000,55
1007,60000,19
1008,60000,37
1009,60000,62
1010,40000,39
1011,40000,49
1012,60000,55
1013,100000,60
1014,20000,62
1015,40000,46
1016,20000,46
1017,100000,44
1018,40000,39
1019,80000,25
1020,20000,26
1021,40000,51
1022,40000,47
1023,60000,30
1024,20000,51
1025,60000,39
1026,60000,38
1027,80000,60
1028,40000,23
1029,100000,84
1030,20000,28
1031,20000,21
1032,100000,81
1033,20000,57
1034,40000,59
1035,20000,53
1036,40000,60
1037,80000,51
1038,100000,30
1039,80000,79
1040,40000,27
1041,100000,42
1042,20000,28
1043,60000,55
1044,20000,41
1045,60000,69
1046,20000,37
1047,100000,33
1048,60000,57
1049,40000,22
1050,80000,77
1051,80000,64
1052,60000,24
1053,80000,29
1054,20000,40
1055,40000,20
1056,100000,27
1057,80000,18
1058,40000,86
1059,80000,18
1060,60000,87
1061,40000,26
1062,100000,42
1063,80000,68
1064,80000,80
1065,20000,51
1066,100000,22
1067,100000,19
1068,100000,55
1069,60000,23
1070,100000,30
1071,20000,54
1072,20000,74
1073,60000,52
1074,40000,82
1075,80000,55
1076,20000,64
1077,40000,34
1078,60000,42
1079,40000,36
1080,60000,70
1081,80000,47
1082,60000,60
1083,100000,46
1084,20000,62
1085,80000,23
1086,80000,32
1087,60000,23
1088,80000,54
1089,100000,67
1090,20000,21
1091,100000,35
1092,40000,49
1093,20000,72
1094,100000,55
1095,40000,46
1096,40000,32
1097,60000,61
1098,80000,75
1099,60000,74
1100,40000,66
1101,100000,38
1102,60000,75
1103,20000,51
1104,20000,83
1105,60000,42
1106,20000,60
1107,40000,43
1108,60000,22
1109,20000,50
1110,40000,47
1111,20000,43
1112,60000,22
1113,100000,45
1114,40000,27
1115,40000,80
1116,80000,86
1117,20000,64
1118,40000,26
1119,80000,54
1120,100000,75
1121,100000,68
1122,100000,31
1123,60000,62
1124,60000,23
1125,40000,59
1126,40000,67
1127,20000,68
1128,80000,35
1129,100000,51
1130,40000,27
1131,60000,80
1132,20000,65
1133,60000,29
1134,60000,63
1135,100000,82
1136,20000,61
1137,40000,70
1138,20000,29
1139,40000,37
1140,60000,21
1141,60000,19
1142,60000,55
1143,80000,29
1144,100000,74
1145,100000,63
1146,60000,18
1147,40000,58
1148,20000,76
1149,80000,31
1150,40000,66
1151,20000,29
1152,20000,37
1153,20000,45
1154,60000,33
1155,80000,42
1156,100000,72
1157,100000,43
1158,20000,83
1159,60000,61
1160,60000,50
1161,100000,87
1162,40000,40
1163,80000,27
1164,60000,49
1165,40000,23
1166,60000,40
1167,40000,76
1168,100000,24
1169,20000,78
1170,20000,67
1171,40000,80
1172,80000,86
1173,60000,63
1174,20000,48
1175,100000,51
1176,80000,52
1177,60000,45
1178,20000,34
1179,20000,46
1180,100000,83
1181,60000,87
1182,40000,33
1183,20000,47
1184,100000,74
1185,80000,26
1186,100000,52
1187,40000,89
1188,80000,59
1189,40000,89
1190,40000,31
1191,80000,81
1192,80000,29
1193,80000,32
1194,20000,44
1195,100000,79
1196,20000,44
1197,80000,54
1198,80000,57
1199,100000,67
1200,60000,42
1201,80000,63
1202,40000,50
1203,40000,80
1204,80000,90
1205,40000,82
1206,20000,61
1207,60000,64
1208,80000,38
1209,80000,74
1210,80000,83
1211,40000,57
1212,40000,44
1213,40000,35
1214,20000,82
1215,60000,37
1216,60000,62
1217,80000,55
1218,80000,40
1219,80000,87
1220,100000,85
1221,40000,79
1222,100000,31
1223,40000,71
1224,60000,69
1225,40000,47
1226,60000,60
1227,80000,21
1228,60000,70
1229,40000,56
1230,80000,51
1231,80000,47
1232,100000,89
1233,60000,59
1234,20000,61
1235,100000,55
1236,40000,83
1237,40000,45
1238,40000,37
1239,20000,46
1240,40000,47
1241,20000,52
1242,60000,20
1243,40000,35
1244,100000,47
1245,60000,32
1246,40000,25
1247,20000,59
1248,80000,72
1249,40000,19
1250,80000,42
1251,100000,68
1252,60000,71
1253,60000,78
1254,60000,72
1255,20000,61
1256,60000,89
1257,80000,32
1258,60000,52
1259,60000,90
1260,80000,39
1261,40000,50
1262,100000,31
1263,20000,79
1264,100000,37
1265,20000,27
1266,80000,68
1267,20000,25
1268,20000,78
1269,80000,19
1270,40000,49
1271,40000,80
1272,100000,74
1273,100000,82
1274,40000,78
1275,20000,29
1276,20000,23
1277,80000,76
1278,40000,45
1279,80000,88
1280,100000,81
1281,60000,26
1282,20000,33
1283,20000,25
1284,40000,49
1285,60000,38
1286,20000,40
1287,20000,64
1288,100000,66
1289,80000,33
1290,40000,25
1291,20000,72
1292,80000,22
1293,40000,28
1294,100000,54
1295,60000,67
1296,20000,83
1297,20000,76
1298,80000,80
1299,80000,34
1300,40000,18
1301,20000,88
1302,100000,63
1303,100000,27
1304,100000,87
1305,60000,34
1306,100000,69
1307,100000,46
1308,40000,23
1309,60000,67
1310,20000,52
1311,20000,59
1312,80000,22
1313,80000,82
1314,80000,45
1315,20000,46
1316,60000,51
1317,80000,81
1318,20000,44
1319,80000,68
1320,80000,87
1321,60000,49
1322,100000,48
1323,80000,31
1324,20000,36
1325,20000,75
1326,20000,44
1327,20000,22
1328,20000,43
1329,60000,25
1330,60000,58
1331,80000,72
1332,20000,84
1333,40000,61
1334,100000,24
1335,80000,41
1336,20000,42
1337,60000,45
1338,40000,65
1339,20000,89
1340,40000,32
1341,20000,80
1342,80000,18
1343,80000,87
1344,80000,19
1345,60000,72
1346,80000,58
1347,40000,44
1348,40000,54
1349,60000,52
1350,80000,50
1351,20000,30
1352,60000,20
1353,20000,61
1354,80000,27
1355,40000,57
1356,60000,64
1357,100000,32
1358,80000,67
1359,60000,65
1360,100000,65
1361,20000,83
1362,60000,83
1363,60000,80
1364,80000,27
1365,80000,71
1366,100000,46
1367,80000,21
1368,60000,21
1369,80000,27
1370,20000,88
1371,100000,64
1372,20000,68
1373,80000,27
1374,100000,45
1375,20000,60
1376,100000,80
1377,20000,52
1378,40000,51
1379,100000,88
1380,20000,49
1381,100000,36
1382,20000,72
1383,100000,54
1384,100000,83
1385,80000,20
1386,20000,24
1387,100000,43
1388,40000,74
1389,20000,24
1390,40000,82
1391,40000,37
1392,100000,28
1393,40000,40
1394,60000,46
1395,40000,36
1396,20000,32
1397,80000,46
1398,20000,65
1399,20000,38
1400,40000,59
1401,60000,63
1402,60000,89
1403,60000,25
1404,40000,37
1405,20000,29
1406,80000,33
1407,20000,38
1408,60000,32
1409,40000,47
1410,100000,85
1411,60000,24
1412,20000,44
1413,20000,20
1414,100000,27
1415,40000,26
1416,60000,51
1417,20000,69
1418,60000,76
1419,60000,32
1420,20000,84
1421,40000,42
1422,80000,52
1423,80000,50
1424,40000,28
1425,100000,83
1426,60000,76
1427,80000,18
1428,60000,55
1429,60000,18
1430,20000,59
1431,40000,56
1432,40000,81
1433,60000,31
1434,80000,36
1435,20000,46
1436,80000,19
1437,40000,18
1438,80000,20
1439,40000,68
1440,40000,74
1441,20000,69
1442,60000,82
1443,40000,53
1444,60000,58
1445,20000,26
1446,40000,25
1447,20000,72
1448,40000,83
1449,20000,21
1450,40000,87
1451,20000,71
1452,60000,63
1453,40000,18
1454,80000,73
1455,20000,41
1456,20000,49
1457,80000,58
1458,60000,62
1459,100000,64
1460,60000,45
1461,80000,84
1462,60000,18
1463,80000,84
1464,60000,24
1465,20000,34
1466,40000,23
1467,60000,53
1468,20000,32
1469,60000,88
1470,100000,24
1471,100000,76
1472,100000,89
1473,100000,28
1474,80000,20
1475,100000,83
1476,60000,63
1477,100000,61
1478,60000,81
1479,80000,55
1480,20000,34
1481,40000,42
1482,20000,66
1483,100000,46
1484,60000,58
1485,40000,26
1486,60000,76
1487,80000,18
1488,100000,69
1489,20000,75
1490,100000,67
1491,80000,55
1492,60000,57
1493,60000,24
1494,100000,90
1495,40000,72
1496,80000,62
1497,20000,53
1498,60000,71
1499,60000,58
1500,60000,86
1501,80000,78
1502,40000,19
1503,80000,19
1504,80000,37
1505,20000,32
1506,20000,39
1507,80000,65
1508,20000,40
1509,60000,70
1510,80000,18
1511,80000,85
1512,100000,57
1513,100000,41
1514,20000,66
1515,20000,36
1516,60000,77
1517,80000,71
1518,60000,42
1519,100000,48
1520,60000,30
1521,80000,23
1522,80000,59
1523,40000,48
1524,20000,27
1525,100000,60
1526,60000,32
1527,100000,54
1528,60000,21
1529,80000,30
1530,20000,66
1531,100000,73
1532,40000,41
1533,20000,83
1534,20000,47
1535,80000,90
1536,80000,52
1537,100000,66
1538,40000,42
1539,60000,33
1540,80000,40
1541,60000,53
1542,20000,57
1543,80000,55
1544,20000,54
1545,60000,80
1546,80000,37
1547,60000,73
1548,60000,32
1549,60000,49
1550,60000,62
1551,40000,44
1552,40000,88
1553,20000,66
1554,60000,23
1555,40000,51
1556,100000,86
1557,100000,83
1558,20000,33
1559,40000,81
1560,80000,87
1561,20000,21
1562,20000,70
1563,40000,37
1564,20000,85
1565,80000,84
1566,100000,33
1567,80000,58
1568,100000,26
1569,80000,48
1570,20000,28
1571,40000,64
1572,60000,51
1573,60000,62
1574,60000,65
1575,60000,86
1576,40000,34
1577,100000,33
1578,60000,30
1579,20000,40
1580,20000,20
1581,60000,81
1582,80000,80
1583,100000,27
1584,40000,31
1585,100000,80
1586,20000,75
1587,60000,38
1588,80000,49
1589,100000,72
1590,40000,75
1591,40000,63
1592,40000,54
1593,20000,63
1594,80000,60
1595,100000,54
1596,20000,47
1597,80000,38
1598,100000,31
1599,100000,82
1600,60000,46
1601,60000,38
1602,80000,21
1603,80000,46
1604,40000,26
1605,40000,83
1606,60000,67
1607,60000,25
1608,40000,83
1609,100000,71
1610,20000,56
1611,60000,25
1612,100000,65
1613,40000,54
1614,20000,63
1615,60000,45
1616,80000,77
1617,100000,18
1618,40000,72
1619,80000,20
1620,100000,85
1621,60000,85
1622,80000,79
1623,40000,69
1624,80000,63
1625,60000,18
1626,20000,63
1627,80000,49
1628,60000,65
1629,60000,84
1630,60000,64
1631,20000,23
1632,60000,65
1633,40000,55
1634,40000,34
1635,100000,37
1636,100000,76
1637,100000,48
1638,60000,30
1639,60000,20
1640,60000,32
1641,20000,24
1642,40000,80
1643,100000,69
1644,80000,83
1645,20000,47
1646,40000,70
1647,80000,39
1648,60000,53
1649,80000,38
1650,100000,70
1651,60000,55
1652,80000,36
1653,40000,75
1654,40000,45
1655,40000,71
1656,80000,44
1657,100000,65
1658,20000,87
1659,20000,31
1660,80000,61
1661,40000,69
1662,100000,57
1663,60000,49
1664,60000,24
1665,20000,90
1666,100000,25
1667,80000,20
1668,100000,68
1669,60000,19
1670,80000,18
1671,80000,25
1672,20000,43
1673,20000,78
1674,20000,80
1675,100000,34
1676,60000,80
1677,20000,56
1678,40000,22
1679,80000,81
1680,100000,31
1681,100000,21
1682,60000,74
1683,40000,80
1684,60000,61
1685,80000,33
1686,60000,20
1687,100000,52
1688,40000,30
1689,40000,50
1690,60000,42
1691,100000,54
1692,80000,29
1693,100000,78
1694,40000,40
1695,80000,89
1696,100000,29
1697,20000,31
1698,60000,49
1699,100000,65
1700,40000,59
1701,40000,49
1702,80000,73
1703,40000,50
1704,100000,37
1705,20000,55
1706,40000,54
1707,80000,82
1708,40000,76
1709,80000,23
1710,100000,79
1711,80000,46
1712,20000,86
1713,40000,34
1714,60000,36
1715,40000,64
1716,80000,24
1717,80000,52
1718,60000,47
1719,40000,52
1720,20000,66
1721,60000,86
1722,20000,48
1723,40000,88
1724,40000,77
1725,80000,78
1726,80000,86
1727,80000,37
1728,80000,57
1729,80000,18
1730,80000,42
1731,60000,74
1732,20000,44
1733,20000,30
1734,20000,76
1735,60000,39
1736,100000,22
1737,80000,63
1738,80000,51
1739,40000,46
1740,20000,51
1741,100000,38
1742,40000,56
1743,40000,87
1744,80000,51
1745,60000,80
1746,80000,65
1747,60000,23
1748,40000,62
1749,100000,84
1750,60000,19
1751,100000,29
1752,80000,67
1753,100000,67
1754,100000,75
1755,40000,20
1756,100000,24
1757,60000,46
1758,40000,47
1759,20000,86
1760,80000,42
1761,60000,31
1762,60000,20
1763,80000,61
1764,80000,31
1765,60000,51
1766,80000,66
1767,60000,86
1768,60000,43
1769,20000,46
1770,80000,68
1771,80000,47
1772,60000,36
1773,60000,31
1774,100000,25
1775,60000,75
1776,100000,43
1777,40000,64
1778,60000,41
1779,20000,50
1780,60000,45
1781,100000,76
1782,20000,71
1783,100000,89
1784,40000,22
1785,20000,80
1786,80000,38
1787,20000,36
1788,20000,69
1789,80000,69
1790,80000,89
1791,40000,82
1792,20000,84
1793,80000,38
1794,100000,20
1795,40000,77
1796,60000,52
1797,60000,26
1798,40000,44
1799,40000,24
1800,60000,18
1801,40000,42
1802,40000,68
1803,40000,69
1804,100000,27
1805,40000,62
1806,40000,70
1807,60000,28
1808,20000,56
1809,20000,54
1810,40000,25
1811,40000,59
1812,20000,80
1813,100000,77
1814,80000,47
1815,100000,28
1816,40000,37
1817,40000,74
1818,40000,73
1819,100000,33
1820,20000,22
1821,20000,51
1822,60000,38
1823,20000,73
1824,80000,48
1825,80000,71
1826,80000,75
1827,40000,65
1828,40000,85
1829,80000,30
1830,60000,30
1831,100000,76
1832,100000,50
1833,100000,49
1834,100000,35
1835,100000,41
1836,100000,61
1837,80000,49
1838,40000,27
1839,100000,49
1840,60000,60
1841,60000,80
1842,40000,56
1843,20000,87
1844,100000,42
1845,80000,68
1846,80000,38
1847,80000,75
1848,60000,86
1849,20000,84
1850,80000,35
1851,60000,63
1852,80000,37
1853,80000,24
1854,100000,50
1855,100000,83
1856,40000,63
1857,20000,88
1858,80000,87
1859,80000,36
1860,40000,21
1861,40000,70
1862,60000,39
1863,40000,70
1864,100000,24
1865,60000,24
1866,80000,79
1867,40000,84
1868,100000,84
1869,80000,84
1870,60000,47
1871,80000,29
1872,40000,37
