,customerid,products_per_customer
749,11669,5
750,7179,3
751,13310,1
752,9707,3
753,592,6
754,13972,9
755,12996,4
756,11385,8
757,4334,6
758,1640,7
759,16596,8
760,15530,2
761,4285,3
762,927,8
763,8002,7
764,16595,4
765,12257,5
766,3315,1
767,18697,8
768,14908,2
769,10644,14
770,18012,7
771,18458,9
772,1233,3
773,1732,4
774,56,4
775,4745,7
776,8257,6
777,17462,17
778,3059,4
779,4759,8
780,245,12
781,11897,2
782,14027,3
783,1807,11
784,18456,5
785,484,3
786,8912,14
787,8917,8
788,14009,7
789,3558,1
790,13152,4
791,1224,1
792,4280,11
793,1930,11
794,5286,8
795,13433,1
796,10195,2
797,5699,7
798,7444,1
799,11045,2
800,5737,2
801,8221,9
802,2497,2
803,11783,5
804,17493,8
805,8477,22
806,1859,7
807,11090,9
808,2729,5
809,14605,2
810,12797,8
811,7675,2
812,17791,1
813,5575,23
814,9577,2
815,11422,4
816,2718,13
817,9934,8
818,14844,11
819,12888,5
820,9128,9
821,4293,5
822,247,13
823,8590,7
824,14956,8
825,4560,2
826,12392,5
827,1182,2
828,7648,3
829,12630,10
830,5726,8
831,13583,12
832,3267,5
833,4779,9
834,316,1
835,7625,7
836,3145,4
837,7525,5
838,9767,9
839,6351,8
840,16268,7
841,11842,3
842,17933,13
843,5535,2
844,7558,9
845,3502,6
846,1526,15
847,13190,4
848,13780,7
849,17849,3
850,4994,5
851,9811,3
852,6683,6
853,426,3
854,12079,6
855,2822,6
856,6181,15
857,18034,6
858,8935,9
859,971,9
860,2342,6
861,18339,2
862,5392,1
863,941,6
864,16453,1
865,2761,9
866,16965,10
867,16331,9
868,2433,8
869,7082,10
870,135,7
871,17710,18
872,17191,9
873,10466,7
874,12138,5
875,17415,5
876,18230,9
877,2795,4
878,16928,4
879,15163,6
880,11392,3
881,18439,1
882,2418,9
883,17198,13
884,13098,1
885,2946,4
886,15837,2
887,17908,1
888,15,9
889,18805,6
890,859,3
891,6000,4
892,5552,9
893,11240,6
894,14131,15
895,1192,7
896,9775,5
897,2206,1
898,5989,4
899,1124,1
900,5119,5
901,1243,5
902,7026,15
903,12852,4
904,16603,9
905,11994,5
906,6707,8
907,18416,5
908,9745,3
909,11068,9
910,9641,12
911,16729,2
912,7012,9
913,9383,6
914,13386,7
915,10464,11
916,2008,18
917,8154,1
918,8529,1
919,10505,8
920,18129,7
921,11434,5
922,9556,4
923,8836,3
924,15002,8
925,6209,4
926,14138,2
927,7756,9
928,14320,2
929,10402,5
930,16366,6
931,2047,12
932,15391,5
933,9318,3
934,7677,18
935,15183,15
936,12028,15
937,19340,11
938,5086,3
939,14845,1
940,1882,13
941,7344,4
942,9474,16
943,2262,5
944,10445,3
945,19919,14
946,2405,3
947,372,8
948,339,7
949,2647,6
950,14861,3
951,8283,7
952,11872,5
953,6323,1
954,19991,12
955,10209,14
956,808,5
957,10271,2
958,18212,3
959,8747,18
960,9794,13
961,14230,1
962,10338,7
963,19538,15
964,8376,14
965,15808,4
966,18528,9
967,14465,10
968,1074,1
969,4866,5
970,1999,3
971,17685,6
972,19233,19
973,2482,7
974,3468,9
975,15051,12
976,12760,2
977,18420,4
978,17969,8
979,8412,8
980,12829,4
981,5217,2
982,12969,7
983,11115,8
984,16194,9
985,17094,1
986,18769,6
987,4644,8
988,14395,16
989,13481,5
990,4573,14
991,1466,6
992,19862,9
993,11267,6
994,348,15
995,14809,8
996,9749,9
997,14919,1
998,112,6
999,9926,3
1000,12384,16
1001,15125,7
1002,10524,22
1003,6116,14
1004,13191,9
1005,16807,3
1006,10684,17
1007,5112,8
1008,17048,5
1009,11012,7
1010,16380,2
1011,13622,15
1012,988,3
1013,18903,9
1014,11021,9
1015,16036,1
1016,12363,1
1017,2908,1
1018,9174,5
1019,14450,8
1020,13480,5
1021,15852,4
1022,10202,8
1023,7567,8
1024,1534,2
1025,10432,7
1026,5768,6
1027,10197,2
1028,4397,9
1029,19279,8
1030,10361,13
1031,10577,14
1032,18271,11
1033,5570,1
1034,16076,22
1035,6529,4
1036,17364,3
1037,7068,7
1038,10559,11
1039,8818,7
1040,17809,9
1041,17682,15
1042,11975,1
1043,7526,6
1044,17425,2
1045,2587,6
1046,10924,4
1047,5841,12
1048,1186,18
1049,11467,7
1050,4067,7
1051,3465,9
1052,15603,4
1053,16246,10
1054,5101,5
1055,6576,7
1056,917,7
1057,4423,2
1058,16458,14
1059,16009,6
1060,15164,6
1061,18611,7
1062,7150,3
1063,6836,7
1064,12405,8
1065,8880,7
1066,9479,9
1067,7910,6
1068,15536,8
1069,9511,8
1070,18201,3
1071,7659,7
1072,8587,6
1073,11827,2
1074,10656,9
1075,13985,1
1076,18139,9
1077,9514,4
1078,4688,4
1079,14257,1
1080,5390,11
1081,9548,1
1082,15180,10
1083,9215,3
1084,10802,2
1085,10595,1
1086,8078,8
1087,5454,4
1088,11114,8
1089,10014,16
1090,11102,7
1091,18662,5
1092,3454,6
1093,10909,10
1094,7203,9
1095,13904,5
1096,13794,10
1097,8020,1
1098,12568,9
1099,15337,9
1100,2539,6
1101,18514,10
1102,4818,6
1103,8062,13
1104,7703,3
1105,4159,14
1106,7960,7
1107,11413,5
1108,7331,10
1109,6853,15
1110,1026,11
1111,12791,2
1112,9158,5
1113,9639,9
1114,2902,8
1115,16361,9
1116,8518,14
1117,13605,12
1118,16155,6
1119,19484,11
1120,3276,5
1121,3039,4
1122,15706,4
1123,4802,3
1124,5348,7
1125,7046,8
1126,5344,6
1127,12175,3
1128,1989,8
1129,15095,5
1130,17455,7
1131,10889,12
1132,8133,2
1133,19642,2
1134,15070,8
1135,539,23
1136,3559,5
1137,5691,6
1138,1108,1
1139,19996,5
1140,9488,9
1141,5439,1
1142,2331,1
1143,8126,6
1144,15745,1
1145,18547,3
1146,7496,7
1147,9721,13
1148,3464,8
1149,4007,5
1150,15050,9
1151,19762,7
1152,17716,9
1153,1883,7
1154,11688,4
1155,12381,8
1156,417,16
1157,19948,7
1158,3031,10
1159,15351,15
1160,9256,6
1161,11735,7
1162,4792,5
1163,19232,3
1164,15863,7
1165,1018,8
1166,17602,11
1167,14692,5
1168,2385,7
1169,14614,5
1170,5383,8
1171,16106,1
1172,9818,5
1173,14541,6
1174,11065,8
1175,4816,8
1176,17925,7
1177,19809,7
1178,4435,1
1179,13151,2
1180,4711,7
1181,11127,5
1182,12609,7
1183,11449,11
1184,5255,5
1185,8096,9
1186,7003,6
1187,8123,4
1188,9429,7
1189,4692,5
1190,13878,9
1191,3521,4
1192,9310,21
1193,12011,8
1194,16432,6
1195,13868,1
1196,9959,12
1197,9893,4
1198,3764,1
1199,15899,5
1200,12552,9
1201,15910,3
1202,17732,17
1203,7617,12
1204,8525,16
1205,5083,12
1206,1705,10
1207,17171,4
1208,18918,9
1209,2321,2
1210,2553,7
1211,11391,1
1212,8636,14
1213,5267,8
1214,1694,8
1215,8930,3
1216,6174,4
1217,18048,4
1218,19056,8
1219,15621,9
1220,9703,4
1221,11737,1
1222,12952,9
1223,2057,7
1224,16173,7
1225,14318,14
1226,9417,3
1227,6374,19
1228,35,5
1229,5653,6
1230,18912,9
1231,2063,3
1232,3244,2
1233,15270,7
1234,11310,5
1235,3952,9
1236,12930,7
1237,17583,8
1238,10542,1
1239,13097,15
1240,16912,4
1241,285,11
1242,5480,8
1243,9045,4
1244,17552,7
1245,12286,12
1246,11522,6
1247,9421,13
1248,7489,12
1249,13980,5
1250,6889,6
1251,6807,11
1252,1922,16
1253,4406,1
1254,10828,5
1255,12595,2
1256,11543,9
1257,5687,6
1258,4931,9
1259,17134,8
1260,12471,7
1261,10090,7
1262,18597,2
1263,12902,1
1264,10941,19
1265,8693,8
1266,2667,12
1267,12494,3
1268,1049,22
1269,12273,2
1270,18459,5
1271,15571,3
1272,13507,5
1273,15563,17
1274,14661,14
1275,16498,8
1276,7845,10
1277,17136,13
1278,9001,1
1279,5027,16
1280,13964,3
1281,14312,1
1282,18980,8
1283,4511,3
1284,5731,7
1285,17575,2
1286,18763,2
1287,11085,2
1288,12877,16
1289,7916,7
1290,17147,9
1291,2220,14
1292,12533,14
1293,1907,6
1294,2803,6
1295,668,7
1296,7255,8
1297,5758,7
1298,17534,2
1299,3903,11
1300,12124,11
1301,14250,8
1302,6004,8
1303,10246,3
1304,5304,6
1305,15967,3
1306,19200,1
1307,1546,3
1308,18996,10
1309,15403,8
1310,11016,3
1311,6539,5
1312,16393,14
1313,7515,24
1314,9363,2
1315,18447,16
1316,5495,2
1317,6817,12
1318,1815,8
1319,15768,15
1320,11934,8
1321,17045,2
1322,1458,2
1323,108,6
1324,19275,6
1325,4536,4
1326,7158,16
1327,1535,11
1328,15212,20
1329,2704,4
1330,7575,6
1331,19127,9
1332,19051,23
1333,15656,9
1334,15344,7
1335,13959,7
1336,13623,7
1337,18943,11
1338,5364,7
1339,8051,22
1340,16702,9
1341,10635,12
1342,14995,1
1343,1170,13
1344,13789,5
1345,4320,1
1346,16777,8
1347,2567,10
1348,10648,7
1349,324,15
1350,14873,9
1351,7239,1
1352,7474,9
1353,13892,8
1354,2965,4
1355,14407,7
1356,19897,5
1357,984,6
1358,7849,7
1359,14526,6
1360,4341,6
1361,868,3
1362,6800,5
1363,4411,2
1364,5573,7
1365,19705,16
1366,6892,15
1367,2244,6
1368,18176,4
1369,7538,8
1370,2005,1
1371,7176,5
1372,39,4
1373,17549,1
1374,5319,2
1375,18086,1
1376,12024,9
1377,4900,3
1378,2977,1
1379,15887,11
1380,10866,2
1381,14392,2
1382,1837,7
1383,8413,6
1384,3666,5
1385,15666,3
1386,683,4
1387,608,4
1388,15476,9
1389,17499,9
1390,11639,1
1391,9559,4
1392,15807,4
1393,5598,12
1394,6336,7
1395,15980,1
1396,12184,21
1397,1570,1
1398,4735,1
1399,1887,4
1400,6891,6
1401,3525,13
1402,8287,8
1403,5394,8
1404,4463,13
1405,9640,3
1406,9105,2
1407,10625,5
1408,7278,8
1409,10092,8
1410,3919,4
1411,12881,8
1412,1808,2
1413,19844,4
1414,10179,3
1415,13330,7
1416,11000,13
1417,10558,6
1418,2485,4
1419,15139,5
1420,748,1
1421,15162,3
1422,11613,16
1423,18954,7
1424,10135,3
1425,4015,6
1426,12647,7
1427,16988,1
1428,9594,2
1429,3322,6
1430,16345,6
1431,16633,1
1432,10921,2
1433,12853,15
1434,9728,12
1435,16404,1
1436,13478,2
1437,8605,2
1438,14867,5
1439,4303,7
1440,2314,7
1441,18084,5
1442,10280,7
1443,14101,6
1444,16977,9
1445,9441,1
1446,14047,2
1447,15113,6
1448,12931,5
1449,967,8
1450,6176,5
1451,7508,15
1452,8131,7
1453,11287,2
1454,4746,1
1455,12559,4
1456,12805,7
1457,18689,9
1458,16333,5
1459,2878,5
1460,6081,9
1461,19079,9
1462,4830,5
1463,7888,8
1464,505,3
1465,19348,15
1466,3122,6
1467,14114,5
1468,15058,17
1469,13396,8
1470,14289,2
1471,328,7
1472,9892,9
1473,14449,5
1474,13010,6
1475,19684,8
1476,11691,7
1477,9684,12
1478,12305,5
1479,2530,3
1480,6560,6
1481,7475,10
1482,13154,1
1483,9966,7
1484,11661,7
1485,17285,4
1486,10416,7
1487,5494,13
1488,7929,5
1489,18638,6
1490,9254,9
1491,6719,3
1492,12753,8
1493,5648,8
1494,18286,5
1495,5216,8
1496,1622,18
1497,18771,6
1498,15076,6
1499,11067,9
1500,17800,2
1501,6672,1
1502,9365,4
1503,1370,10
1504,10502,4
1505,19365,2
1506,1115,8
1507,19757,8
1508,4616,9
1509,12380,10
1510,19634,3
1511,3304,15
1512,8601,2
1513,16980,9
1514,14904,19
1515,15185,7
1516,5689,6
1517,11020,7
1518,2678,3
1519,11079,5
1520,4352,4
1521,14369,1
1522,19157,3
1523,6407,20
1524,953,8
1525,8281,4
1526,1137,9
1527,7911,14
1528,11707,9
1529,441,8
1530,17750,12
1531,6199,5
1532,11138,16
1533,13474,5
1534,13317,13
1535,14705,2
1536,6890,15
1537,16100,8
1538,2620,6
1539,15234,3
1540,8582,5
1541,5757,7
1542,6688,15
1543,11729,2
1544,14911,7
1545,11453,7
1546,10120,8
1547,15104,5
1548,18929,17
1549,8363,5
1550,12845,5
1551,14859,10
1552,4045,7
1553,11930,4
1554,10522,7
1555,13028,4
1556,19954,4
1557,2323,6
1558,16816,3
1559,17143,7
1560,15101,3
1561,2824,6
1562,13909,9
1563,5638,3
1564,5057,3
1565,6133,3
1566,16523,9
1567,15401,13
1568,10150,5
1569,8424,6
1570,3961,2
1571,7242,2
1572,5477,1
1573,8618,7
1574,9266,3
1575,15233,5
1576,3606,7
1577,1395,11
1578,15021,16
1579,13987,6
1580,18937,7
1581,9108,6
1582,7429,21
1583,11882,1
1584,17738,6
1585,2435,6
1586,16118,2
1587,3215,3
1588,19447,1
1589,18165,3
1590,14170,17
1591,9060,1
1592,2873,12
1593,6792,7
1594,5767,5
1595,12434,5
1596,17916,27
1597,15090,6
1598,8243,6
1599,9742,6
1600,17569,5
1601,12703,1
1602,13121,7
1603,4630,11
1604,11523,5
1605,16555,7
1606,12107,6
1607,10515,2
1608,7459,10
1609,11082,7
1610,16684,4
1611,8120,9
1612,2634,12
1613,9697,2
1614,8342,9
1615,19177,9
1616,2336,9
1617,412,3
1618,14742,6
1619,14943,4
1620,13575,5
1621,13944,4
1622,3842,7
1623,17484,1
1624,15637,5
1625,12072,1
1626,5698,2
1627,16753,9
1628,15176,4
1629,16266,16
1630,5804,1
1631,17036,11
1632,1916,2
1633,18376,21
1634,4076,8
1635,14790,10
1636,7306,8
1637,1962,14
1638,12324,8
1639,2454,12
1640,1821,3
1641,806,5
1642,831,4
1643,17096,4
1644,9564,15
1645,9132,6
1646,13704,7
1647,18717,1
1648,12752,4
1649,18338,6
1650,7530,1
1651,6145,7
1652,18268,2
1653,6436,4
1654,11601,3
1655,10667,6
1656,4578,1
1657,16573,9
1658,5883,5
1659,10448,9
1660,3002,5
1661,14955,3
1662,10033,7
1663,9529,5
1664,15293,7
1665,36,8
1666,1577,4
1667,12608,3
1668,15829,4
1669,2558,7
1670,8787,5
1671,12979,10
1672,533,7
1673,3116,9
1674,3738,5
1675,13519,8
1676,18189,9
1677,14209,1
1678,14132,12
1679,12597,3
1680,9778,5
1681,9022,15
1682,7124,1
1683,5489,11
1684,5519,6
1685,13859,1
1686,7504,8
1687,10328,8
1688,9048,4
1689,19467,1
1690,18136,8
1691,9096,9
1692,1909,4
1693,17460,6
1694,6689,8
1695,1080,13
1696,2031,3
1697,6283,6
1698,6953,2
1699,7462,2
1700,2309,8
1701,18267,3
1702,12032,3
1703,10983,6
1704,19173,4
1705,8879,6
1706,760,7
1707,7500,4
1708,9469,1
1709,8821,5
1710,19101,3
1711,1515,3
1712,671,9
1713,15491,8
1714,3719,8
1715,7149,8
1716,3630,7
1717,13779,1
1718,17227,16
1719,2949,1
1720,4748,10
1721,6621,10
1722,2623,12
1723,6678,4
1724,9509,7
1725,4018,13
1726,13861,1
1727,17102,6
1728,2723,8
1729,12725,4
1730,11638,12
1731,17590,4
1732,15032,6
1733,6212,1
1734,5550,6
1735,4019,10
1736,3177,4
1737,190,6
1738,8141,15
1739,11807,8
1740,2870,7
1741,19128,7
1742,11769,9
1743,13393,3
1744,13424,12
1745,3478,4
1746,6507,4
1747,670,3
1748,15203,5
1749,3825,5
1750,19930,6
1751,15062,6
1752,10614,2
1753,9292,7
1754,17481,8
1755,17086,4
1756,5261,1
1757,3798,6
1758,16640,5
1759,10272,16
1760,13196,12
1761,2392,9
1762,13406,5
1763,1475,2
1764,12213,16
1765,8845,8
1766,19980,4
1767,3868,12
1768,16269,5
1769,1604,7
1770,6389,3
1771,4499,4
1772,6676,2
1773,10173,17
1774,17505,2
1775,9440,9
1776,18170,11
1777,1485,7
1778,11704,5
1779,17819,6
1780,7039,8
1781,9698,3
1782,18950,7
1783,10952,15
1784,2115,6
1785,5612,2
1786,13256,5
1787,9905,3
1788,10565,7
1789,12310,4
1790,16668,4
1791,6882,5
1792,3218,2
1793,18775,2
1794,18281,7
1795,15035,1
1796,6245,1
1797,17613,8
1798,14917,3
1799,16188,5
1800,3206,3
1801,2291,8
1802,15971,5
1803,14454,9
1804,7289,5
1805,6308,5
1806,10180,9
1807,2735,10
1808,17688,9
1809,698,7
1810,10436,1
1811,10149,7
1812,15092,8
1813,9483,8
1814,6048,4
1815,11456,9
1816,9080,1
1817,6537,14
1818,12517,9
1819,19039,5
1820,12391,8
1821,15564,13
1822,2176,10
1823,14530,14
1824,8689,6
1825,13970,8
1826,16814,2
1827,3757,6
1828,5748,2
1829,11341,6
1830,12117,1
1831,10516,6
1832,18119,5
1833,12916,7
1834,17336,12
1835,17262,7
1836,9619,2
1837,9682,6
1838,19563,15
1839,8121,10
1840,16438,7
1841,2529,4
1842,13724,9
1843,16074,5
1844,3338,6
1845,6509,5
1846,6873,5
1847,9658,8
1848,4034,17
1849,15456,6
1850,13204,19
1851,1381,11
1852,17180,13
1853,17448,5
1854,13545,4
1855,8193,1
1856,10047,12
1857,12335,2
1858,1012,6
1859,14296,7
1860,12188,4
1861,9418,14
1862,11943,7
1863,8958,5
1864,11781,3
1865,1635,7
1866,8072,5
1867,11460,3
1868,6799,5
1869,16482,11
1870,13897,2
1871,18604,14
1872,1117,9
1873,5669,8
1874,2897,8
1875,11573,6
1876,19487,8
1877,18990,7
1878,14593,2
1879,10617,4
1880,12084,2
1881,9451,15
1882,19057,9
